drugname1	drugname2	cell_line	synergy	fold	drug1_fold	drug2_fold	cell_fold
ZOLINZA	SORAFENIB	A427	-7.585	8	7	1	3
ZOLINZA	SUNITINIB	A427	-12.8625	4	7	2	3
ZOLINZA	TEMOZOLOMIDE	A427	-8.315	8	7	3	3
ZOLINZA	TOPOTECAN	A427	-3.555	2	7	4	3
5-FU	AZD1775	CAOV3	18.605000000000004	9	0	2	4
5-FU	DASATINIB	CAOV3	4.09	8	0	7	4
5-FU	MK-2206	CAOV3	7.305000000000001	3	0	0	4
5-FU	MK-5108	CAOV3	4.925000000000001	4	0	3	4
5-FU	MK-8776	CAOV3	14.54625	9	0	5	4
5-FU	SORAFENIB	CAOV3	5.562500000000001	0	0	1	4
5-FU	SUNITINIB	CAOV3	10.425	4	0	2	4
5-FU	TEMOZOLOMIDE	CAOV3	3.7675	1	0	3	4
ABT-888	BEZ-235	CAOV3	7.8625	7	1	3	4
ABT-888	DINACICLIB	CAOV3	7.380000000000001	7	1	9	4
ABT-888	GELDANAMYCIN	CAOV3	8.7425	8	1	3	4
ABT-888	SN-38	CAOV3	18.315	5	1	0	4
ABT-888	SORAFENIB	CAOV3	8.305	7	1	1	4
ABT-888	TOPOTECAN	CAOV3	6.612500000000001	1	1	4	4
AZD1775	ERLOTINIB	CAOV3	4.1575	9	2	1	4
AZD1775	LAPATINIB	CAOV3	11.7375	9	2	6	4
AZD1775	MK-2206	CAOV3	8.0125	4	2	0	4
AZD1775	SN-38	CAOV3	5.78	3	2	0	4
AZD1775	TOPOTECAN	CAOV3	3.795	9	2	4	4
BEZ-235	SORAFENIB	CAOV3	4.092499999999999	4	3	1	4
BORTEZOMIB	ABT-888	CAOV3	11.4225	4	4	1	4
BORTEZOMIB	BEZ-235	CAOV3	5.44	5	4	3	4
BORTEZOMIB	DINACICLIB	CAOV3	4.9825	1	4	9	4
BORTEZOMIB	GELDANAMYCIN	CAOV3	5.244999999999999	4	4	3	4
BORTEZOMIB	SN-38	CAOV3	6.0125	3	4	0	4
BORTEZOMIB	TOPOTECAN	CAOV3	4.4375	0	4	4	4
CARBOPLATIN	MK-2206	CAOV3	3.8825	2	5	0	4
CARBOPLATIN	MK-8776	CAOV3	6.4975000000000005	7	5	5	4
CARBOPLATIN	SUNITINIB	CAOV3	7.225	1	5	2	4
CYCLOPHOSPHAMIDE	ABT-888	CAOV3	8.08	3	6	1	4
CYCLOPHOSPHAMIDE	AZD1775	CAOV3	4.735	6	6	2	4
CYCLOPHOSPHAMIDE	BEZ-235	CAOV3	5.5275	9	6	3	4
CYCLOPHOSPHAMIDE	ERLOTINIB	CAOV3	4.095000000000001	8	6	1	4
CYCLOPHOSPHAMIDE	LAPATINIB	CAOV3	5.592499999999999	3	6	6	4
CYCLOPHOSPHAMIDE	MK-2206	CAOV3	6.569999999999999	7	6	0	4
CYCLOPHOSPHAMIDE	MK-4827	CAOV3	5.575	1	6	2	4
CYCLOPHOSPHAMIDE	MK-5108	CAOV3	6.59	1	6	3	4
CYCLOPHOSPHAMIDE	MK-8669	CAOV3	5.035	0	6	4	4
CYCLOPHOSPHAMIDE	PD325901	CAOV3	8.91	7	6	9	4
CYCLOPHOSPHAMIDE	SORAFENIB	CAOV3	10.005	5	6	1	4
CYCLOPHOSPHAMIDE	SUNITINIB	CAOV3	10.245	0	6	2	4
CYCLOPHOSPHAMIDE	TEMOZOLOMIDE	CAOV3	5.964999999999999	3	6	3	4
CYCLOPHOSPHAMIDE	ZOLINZA	CAOV3	8.692499999999999	2	6	7	4
DASATINIB	SN-38	CAOV3	6.362499999999999	1	7	0	4
DASATINIB	SORAFENIB	CAOV3	5.5975	2	7	1	4
DEXAMETHASONE	DASATINIB	CAOV3	5.23	1	8	7	4
DEXAMETHASONE	LAPATINIB	CAOV3	6.709999999999999	0	8	6	4
DEXAMETHASONE	MK-2206	CAOV3	9.645	1	8	0	4
DEXAMETHASONE	SORAFENIB	CAOV3	12.3825	0	8	1	4
DOXORUBICIN	LAPATINIB	CAOV3	5.1825	7	0	6	4
DOXORUBICIN	MK-2206	CAOV3	5.659999999999999	3	0	0	4
ERLOTINIB	BEZ-235	CAOV3	4.835	7	1	3	4
ERLOTINIB	MK-8776	CAOV3	6.5075	6	1	5	4
ERLOTINIB	SN-38	CAOV3	7.115	2	1	0	4
ERLOTINIB	SORAFENIB	CAOV3	7.745	3	1	1	4
ERLOTINIB	TOPOTECAN	CAOV3	6.1625000000000005	1	1	4	4
ETOPOSIDE	ABT-888	CAOV3	7.22	0	2	1	4
ETOPOSIDE	AZD1775	CAOV3	6.245	5	2	2	4
ETOPOSIDE	BORTEZOMIB	CAOV3	5.5875	5	2	4	4
ETOPOSIDE	DASATINIB	CAOV3	5.525	3	2	7	4
ETOPOSIDE	DINACICLIB	CAOV3	4.227499999999999	5	2	9	4
ETOPOSIDE	ERLOTINIB	CAOV3	4.6675	8	2	1	4
ETOPOSIDE	GELDANAMYCIN	CAOV3	5.405	2	2	3	4
ETOPOSIDE	LAPATINIB	CAOV3	10.48	9	2	6	4
ETOPOSIDE	MK-2206	CAOV3	10.7575	8	2	0	4
ETOPOSIDE	MK-4827	CAOV3	6.5075	1	2	2	4
ETOPOSIDE	MK-5108	CAOV3	3.9575	7	2	3	4
ETOPOSIDE	PD325901	CAOV3	4.95	8	2	9	4
ETOPOSIDE	SORAFENIB	CAOV3	6.984999999999999	7	2	1	4
ETOPOSIDE	SUNITINIB	CAOV3	5.7475000000000005	6	2	2	4
ETOPOSIDE	TEMOZOLOMIDE	CAOV3	9.9975	7	2	3	4
GELDANAMYCIN	BEZ-235	CAOV3	5.210000000000001	4	3	3	4
GELDANAMYCIN	MK-8776	CAOV3	7.2675	7	3	5	4
GELDANAMYCIN	SN-38	CAOV3	7.4375	2	3	0	4
GELDANAMYCIN	SORAFENIB	CAOV3	7.87	7	3	1	4
L778123	ABT-888	CAOV3	5.3225	9	5	1	4
L778123	GELDANAMYCIN	CAOV3	6.92	6	5	3	4
L778123	LAPATINIB	CAOV3	3.8175	9	5	6	4
L778123	MK-2206	CAOV3	4.465	0	5	0	4
L778123	MK-5108	CAOV3	7.032500000000001	9	5	3	4
L778123	PD325901	CAOV3	4.3	0	5	9	4
L778123	SUNITINIB	CAOV3	3.965	2	5	2	4
LAPATINIB	BORTEZOMIB	CAOV3	4.4775	8	6	4	4
LAPATINIB	DASATINIB	CAOV3	3.8225	2	6	7	4
LAPATINIB	DINACICLIB	CAOV3	6.449999999999999	7	6	9	4
LAPATINIB	GELDANAMYCIN	CAOV3	9.81	3	6	3	4
LAPATINIB	MK-5108	CAOV3	6.8675	2	6	3	4
LAPATINIB	MK-8669	CAOV3	3.705	9	6	4	4
LAPATINIB	MK-8776	CAOV3	13.2575	7	6	5	4
LAPATINIB	SN-38	CAOV3	11.3675	4	6	0	4
LAPATINIB	SORAFENIB	CAOV3	11.57	5	6	1	4
LAPATINIB	TOPOTECAN	CAOV3	4.4025	1	6	4	4
METFORMIN	ABT-888	CAOV3	4.67	0	7	1	4
METFORMIN	BEZ-235	CAOV3	4.425	0	7	3	4
METFORMIN	SORAFENIB	CAOV3	4.59	7	7	1	4
METFORMIN	SUNITINIB	CAOV3	4.01	4	7	2	4
METHOTREXATE	MK-2206	CAOV3	4.1175	2	8	0	4
MITOMYCINE	ABT-888	CAOV3	15.18	8	9	1	4
MITOMYCINE	AZD1775	CAOV3	6.5925	2	9	2	4
MITOMYCINE	BORTEZOMIB	CAOV3	5.53	3	9	4	4
MITOMYCINE	DASATINIB	CAOV3	7.47	9	9	7	4
MITOMYCINE	LAPATINIB	CAOV3	11.3725	7	9	6	4
MITOMYCINE	MK-2206	CAOV3	13.09	5	9	0	4
MITOMYCINE	MK-4827	CAOV3	9.0	2	9	2	4
MITOMYCINE	MK-8669	CAOV3	5.5675	6	9	4	4
MITOMYCINE	PD325901	CAOV3	9.2875	4	9	9	4
MITOMYCINE	SUNITINIB	CAOV3	8.0075	9	9	2	4
MITOMYCINE	TEMOZOLOMIDE	CAOV3	14.2	5	9	3	4
MITOMYCINE	ZOLINZA	CAOV3	7.107499999999999	4	9	7	4
MK-2206	ABT-888	CAOV3	8.450000000000001	9	0	1	4
MK-2206	BEZ-235	CAOV3	7.98	4	0	3	4
MK-2206	BORTEZOMIB	CAOV3	3.890000000000001	3	0	4	4
MK-2206	DINACICLIB	CAOV3	5.92	5	0	9	4
MK-2206	GELDANAMYCIN	CAOV3	7.4425	4	0	3	4
MK-2206	MK-8669	CAOV3	4.5287500000000005	8	0	4	4
MK-2206	MK-8776	CAOV3	6.0975	4	0	5	4
MK-2206	PD325901	CAOV3	4.085	6	0	9	4
MK-2206	SN-38	CAOV3	9.015	0	0	0	4
MK-2206	SORAFENIB	CAOV3	9.8125	7	0	1	4
MK-2206	TOPOTECAN	CAOV3	9.9925	9	0	4	4
MK-4541	5-FU	CAOV3	8.975	7	1	0	4
MK-4541	ABT-888	CAOV3	9.8225	6	1	1	4
MK-4541	BEZ-235	CAOV3	5.545	8	1	3	4
MK-4541	BORTEZOMIB	CAOV3	5.602499999999999	8	1	4	4
MK-4541	CYCLOPHOSPHAMIDE	CAOV3	10.6825	4	1	6	4
MK-4541	DEXAMETHASONE	CAOV3	6.8475	3	1	8	4
MK-4541	ERLOTINIB	CAOV3	9.6525	5	1	1	4
MK-4541	ETOPOSIDE	CAOV3	10.655	6	1	2	4
MK-4541	LAPATINIB	CAOV3	8.655000000000001	6	1	6	4
MK-4541	METHOTREXATE	CAOV3	3.9175	0	1	8	4
MK-4541	MITOMYCINE	CAOV3	12.75	9	1	9	4
MK-4541	MK-2206	CAOV3	13.6975	7	1	0	4
MK-4541	MK-4827	CAOV3	5.5025	1	1	2	4
MK-4541	MK-8669	CAOV3	6.515000000000001	9	1	4	4
MK-4541	MRK-003	CAOV3	11.2575	4	1	6	4
MK-4541	PACLITAXEL	CAOV3	5.6675	1	1	8	4
MK-4541	PD325901	CAOV3	7.5	8	1	9	4
MK-4541	SN-38	CAOV3	6.415	9	1	0	4
MK-4541	SORAFENIB	CAOV3	9.915	8	1	1	4
MK-4541	SUNITINIB	CAOV3	8.4975	6	1	2	4
MK-4541	TEMOZOLOMIDE	CAOV3	5.112500000000001	3	1	3	4
MK-4541	TOPOTECAN	CAOV3	11.095	2	1	4	4
MK-4541	ZOLINZA	CAOV3	7.125	9	1	7	4
MK-4827	SN-38	CAOV3	13.26875	8	2	0	4
MK-4827	TOPOTECAN	CAOV3	9.385	0	2	4	4
MK-5108	ABT-888	CAOV3	4.745	8	3	1	4
MK-5108	BEZ-235	CAOV3	3.77	0	3	3	4
MK-5108	BORTEZOMIB	CAOV3	5.4175	8	3	4	4
MK-5108	MK-2206	CAOV3	4.9425	8	3	0	4
MK-5108	MK-8669	CAOV3	6.2250000000000005	3	3	4	4
MK-5108	SORAFENIB	CAOV3	3.975	4	3	1	4
MK-5108	TOPOTECAN	CAOV3	9.625	2	3	4	4
MK-8669	BEZ-235	CAOV3	5.455	6	4	3	4
MK-8669	MK-8776	CAOV3	4.2700000000000005	2	4	5	4
MK-8669	SORAFENIB	CAOV3	6.9475	3	4	1	4
MK-8669	TOPOTECAN	CAOV3	6.140000000000001	4	4	4	4
MRK-003	5-FU	CAOV3	7.6175	7	6	0	4
MRK-003	ABT-888	CAOV3	9.9125	3	6	1	4
MRK-003	AZD1775	CAOV3	6.445	6	6	2	4
MRK-003	BEZ-235	CAOV3	9.64	7	6	3	4
MRK-003	BORTEZOMIB	CAOV3	7.475	0	6	4	4
MRK-003	CYCLOPHOSPHAMIDE	CAOV3	12.7525	1	6	6	4
MRK-003	DEXAMETHASONE	CAOV3	5.9275	5	6	8	4
MRK-003	DINACICLIB	CAOV3	4.7625	3	6	9	4
MRK-003	ERLOTINIB	CAOV3	6.515	8	6	1	4
MRK-003	ETOPOSIDE	CAOV3	11.12	6	6	2	4
MRK-003	GELDANAMYCIN	CAOV3	5.015000000000001	4	6	3	4
MRK-003	L778123	CAOV3	4.75	5	6	5	4
MRK-003	LAPATINIB	CAOV3	5.97125	1	6	6	4
MRK-003	METFORMIN	CAOV3	5.095000000000001	5	6	7	4
MRK-003	METHOTREXATE	CAOV3	3.9125	0	6	8	4
MRK-003	MITOMYCINE	CAOV3	7.282500000000001	8	6	9	4
MRK-003	MK-2206	CAOV3	14.119999999999996	4	6	0	4
MRK-003	MK-4827	CAOV3	5.785	6	6	2	4
MRK-003	MK-5108	CAOV3	7.1475	8	6	3	4
MRK-003	MK-8669	CAOV3	5.445	5	6	4	4
MRK-003	MK-8776	CAOV3	8.030000000000001	4	6	5	4
MRK-003	PACLITAXEL	CAOV3	6.4275	9	6	8	4
MRK-003	PD325901	CAOV3	4.465	2	6	9	4
MRK-003	SN-38	CAOV3	11.7825	0	6	0	4
MRK-003	SORAFENIB	CAOV3	15.0125	1	6	1	4
MRK-003	SUNITINIB	CAOV3	4.9375	8	6	2	4
MRK-003	TEMOZOLOMIDE	CAOV3	10.24	4	6	3	4
MRK-003	TOPOTECAN	CAOV3	11.8125	3	6	4	4
MRK-003	VINBLASTINE	CAOV3	3.9525	2	6	5	4
MRK-003	ZOLINZA	CAOV3	6.807500000000001	1	6	7	4
OXALIPLATIN	MK-8776	CAOV3	3.895000000000001	3	7	5	4
PACLITAXEL	LAPATINIB	CAOV3	5.68	1	8	6	4
PACLITAXEL	MK-2206	CAOV3	4.285	1	8	0	4
PACLITAXEL	MK-5108	CAOV3	7.1850000000000005	0	8	3	4
PACLITAXEL	TEMOZOLOMIDE	CAOV3	3.995	9	8	3	4
PD325901	ABT-888	CAOV3	4.375	2	9	1	4
PD325901	BEZ-235	CAOV3	6.5	6	9	3	4
PD325901	GELDANAMYCIN	CAOV3	5.66	5	9	3	4
PD325901	SN-38	CAOV3	3.94	9	9	0	4
PD325901	SORAFENIB	CAOV3	10.2575	1	9	1	4
PD325901	TOPOTECAN	CAOV3	6.7525	5	9	4	4
SN-38	SORAFENIB	CAOV3	9.5225	7	0	1	4
SORAFENIB	DINACICLIB	CAOV3	5.42	5	1	9	4
SORAFENIB	MK-8776	CAOV3	4.5225	9	1	5	4
SUNITINIB	ABT-888	CAOV3	12.61	0	2	1	4
SUNITINIB	BEZ-235	CAOV3	3.715	2	2	3	4
SUNITINIB	BORTEZOMIB	CAOV3	6.19	5	2	4	4
SUNITINIB	DINACICLIB	CAOV3	3.79	0	2	9	4
SUNITINIB	GELDANAMYCIN	CAOV3	9.0075	2	2	3	4
SUNITINIB	LAPATINIB	CAOV3	10.42	0	2	6	4
SUNITINIB	MK-4827	CAOV3	3.845	2	2	2	4
SUNITINIB	MK-5108	CAOV3	4.7425	2	2	3	4
SUNITINIB	MK-8776	CAOV3	3.84	0	2	5	4
SUNITINIB	SN-38	CAOV3	9.1725	1	2	0	4
SUNITINIB	TEMOZOLOMIDE	CAOV3	8.2875	6	2	3	4
TEMOZOLOMIDE	ABT-888	CAOV3	26.18	3	3	1	4
TEMOZOLOMIDE	AZD1775	CAOV3	14.62	4	3	2	4
TEMOZOLOMIDE	BEZ-235	CAOV3	11.5275	2	3	3	4
TEMOZOLOMIDE	BORTEZOMIB	CAOV3	5.9675	2	3	4	4
TEMOZOLOMIDE	DINACICLIB	CAOV3	5.63	6	3	9	4
TEMOZOLOMIDE	ERLOTINIB	CAOV3	7.905	6	3	1	4
TEMOZOLOMIDE	GELDANAMYCIN	CAOV3	8.415	6	3	3	4
TEMOZOLOMIDE	LAPATINIB	CAOV3	11.855	6	3	6	4
TEMOZOLOMIDE	MK-2206	CAOV3	6.7625	9	3	0	4
TEMOZOLOMIDE	MK-4827	CAOV3	29.5375	6	3	2	4
TEMOZOLOMIDE	MK-5108	CAOV3	4.295	4	3	3	4
TEMOZOLOMIDE	PD325901	CAOV3	4.7925	0	3	9	4
TEMOZOLOMIDE	SN-38	CAOV3	5.195	7	3	0	4
TEMOZOLOMIDE	SORAFENIB	CAOV3	12.2425	1	3	1	4
TEMOZOLOMIDE	TOPOTECAN	CAOV3	12.302499999999998	5	3	4	4
TOPOTECAN	SORAFENIB	CAOV3	5.9175	3	4	1	4
VINBLASTINE	ERLOTINIB	CAOV3	4.085	8	5	1	4
VINBLASTINE	MK-5108	CAOV3	7.0875	5	5	3	4
VINBLASTINE	SORAFENIB	CAOV3	4.977499999999999	6	5	1	4
ZOLINZA	ABT-888	CAOV3	4.154999999999999	8	7	1	4
ZOLINZA	BEZ-235	CAOV3	3.97	3	7	3	4
ZOLINZA	BORTEZOMIB	CAOV3	3.92	5	7	4	4
ZOLINZA	ERLOTINIB	CAOV3	8.065	8	7	1	4
ZOLINZA	LAPATINIB	CAOV3	6.522499999999999	5	7	6	4
ZOLINZA	MK-2206	CAOV3	10.2575	3	7	0	4
ZOLINZA	MK-8669	CAOV3	5.9350000000000005	6	7	4	4
ZOLINZA	SORAFENIB	CAOV3	11.8175	6	7	1	4
ZOLINZA	TEMOZOLOMIDE	CAOV3	12.1675	1	7	3	4
5-FU	ABT-888	CAOV3	0.6849999999999999	3	0	1	4
5-FU	BEZ-235	CAOV3	1.1125	0	0	3	4
5-FU	BORTEZOMIB	CAOV3	3.4450000000000003	7	0	4	4
5-FU	DINACICLIB	CAOV3	1.8825	5	0	9	4
5-FU	ERLOTINIB	CAOV3	-0.2049999999999999	1	0	1	4
5-FU	GELDANAMYCIN	CAOV3	1.8425	8	0	3	4
5-FU	LAPATINIB	CAOV3	2.7725	8	0	6	4
5-FU	MK-4827	CAOV3	1.745	6	0	2	4
5-FU	MK-8669	CAOV3	0.78	3	0	4	4
5-FU	PD325901	CAOV3	-0.7274999999999998	6	0	9	4
5-FU	ZOLINZA	CAOV3	2.2325	4	0	7	4
ABT-888	MK-8669	CAOV3	2.45	2	1	4	4
ABT-888	MK-8776	CAOV3	0.1424999999999999	4	1	5	4
ABT-888	OXALIPLATIN	CAOV3	1.5175	1	1	7	4
AZD1775	ABT-888	CAOV3	2.26	5	2	1	4
AZD1775	BEZ-235	CAOV3	-1.75625	1	2	3	4
AZD1775	BORTEZOMIB	CAOV3	0.2724999999999999	6	2	4	4
AZD1775	GELDANAMYCIN	CAOV3	2.8	0	2	3	4
AZD1775	MK-4827	CAOV3	-0.025	9	2	2	4
AZD1775	MK-5108	CAOV3	-0.1474999999999999	4	2	3	4
AZD1775	MK-8669	CAOV3	2.6425	9	2	4	4
AZD1775	OXALIPLATIN	CAOV3	2.0025	1	2	7	4
AZD1775	PD325901	CAOV3	3.5625	3	2	9	4
AZD1775	SORAFENIB	CAOV3	2.3600000000000003	6	2	1	4
BEZ-235	DINACICLIB	CAOV3	-0.4350000000000001	9	3	9	4
BEZ-235	MK-8776	CAOV3	-2.0025	8	3	5	4
BEZ-235	OXALIPLATIN	CAOV3	0.1875	2	3	7	4
BEZ-235	SN-38	CAOV3	3.3075	7	3	0	4
BORTEZOMIB	DASATINIB	CAOV3	2.2375	3	4	7	4
BORTEZOMIB	MK-8669	CAOV3	3.365	2	4	4	4
BORTEZOMIB	MK-8776	CAOV3	0.1875	6	4	5	4
BORTEZOMIB	OXALIPLATIN	CAOV3	0.7375	3	4	7	4
BORTEZOMIB	SORAFENIB	CAOV3	3.0475	1	4	1	4
CARBOPLATIN	ABT-888	CAOV3	-0.4175	4	5	1	4
CARBOPLATIN	AZD1775	CAOV3	3.5725	1	5	2	4
CARBOPLATIN	BEZ-235	CAOV3	0.5475000000000001	9	5	3	4
CARBOPLATIN	BORTEZOMIB	CAOV3	0.3575	3	5	4	4
CARBOPLATIN	DASATINIB	CAOV3	3.0825	4	5	7	4
CARBOPLATIN	DINACICLIB	CAOV3	-1.9525	7	5	9	4
CARBOPLATIN	ERLOTINIB	CAOV3	-1.9625	3	5	1	4
CARBOPLATIN	GELDANAMYCIN	CAOV3	1.6974999999999998	6	5	3	4
CARBOPLATIN	LAPATINIB	CAOV3	-1.55	6	5	6	4
CARBOPLATIN	MK-4827	CAOV3	0.5424999999999999	9	5	2	4
CARBOPLATIN	MK-5108	CAOV3	-0.9675	9	5	3	4
CARBOPLATIN	MK-8669	CAOV3	-0.0625000000000001	7	5	4	4
CARBOPLATIN	ZOLINZA	CAOV3	1.16	3	5	7	4
CYCLOPHOSPHAMIDE	BORTEZOMIB	CAOV3	-0.4349999999999998	9	6	4	4
CYCLOPHOSPHAMIDE	DASATINIB	CAOV3	1.9075	4	6	7	4
CYCLOPHOSPHAMIDE	DINACICLIB	CAOV3	3.215	9	6	9	4
CYCLOPHOSPHAMIDE	GELDANAMYCIN	CAOV3	3.66	6	6	3	4
CYCLOPHOSPHAMIDE	L778123	CAOV3	-1.7000000000000002	1	6	5	4
CYCLOPHOSPHAMIDE	MK-8776	CAOV3	0.975	0	6	5	4
DASATINIB	ABT-888	CAOV3	1.79	4	7	1	4
DASATINIB	BEZ-235	CAOV3	1.0450000000000002	6	7	3	4
DASATINIB	DINACICLIB	CAOV3	2.0475	4	7	9	4
DASATINIB	MK-8669	CAOV3	-2.545	0	7	4	4
DASATINIB	TOPOTECAN	CAOV3	1.7699999999999998	7	7	4	4
DEXAMETHASONE	ABT-888	CAOV3	-1.2625000000000002	6	8	1	4
DEXAMETHASONE	AZD1775	CAOV3	-3.2375	1	8	2	4
DEXAMETHASONE	BEZ-235	CAOV3	0.4349999999999999	7	8	3	4
DEXAMETHASONE	BORTEZOMIB	CAOV3	-2.8275	7	8	4	4
DEXAMETHASONE	DINACICLIB	CAOV3	-0.4174999999999999	1	8	9	4
DEXAMETHASONE	ERLOTINIB	CAOV3	-1.3749999999999998	0	8	1	4
DEXAMETHASONE	GELDANAMYCIN	CAOV3	-2.0875	8	8	3	4
DEXAMETHASONE	L778123	CAOV3	-3.3174999999999994	1	8	5	4
DEXAMETHASONE	MK-5108	CAOV3	1.76	0	8	3	4
DEXAMETHASONE	MK-8669	CAOV3	-0.5875000000000001	6	8	4	4
DEXAMETHASONE	MK-8776	CAOV3	-1.6550000000000002	4	8	5	4
DEXAMETHASONE	PD325901	CAOV3	3.4275	2	8	9	4
DEXAMETHASONE	SUNITINIB	CAOV3	-2.465	9	8	2	4
DEXAMETHASONE	ZOLINZA	CAOV3	-1.5099999999999998	1	8	7	4
DOXORUBICIN	ABT-888	CAOV3	3.2974999999999994	0	0	1	4
DOXORUBICIN	AZD1775	CAOV3	0.6525000000000001	5	0	2	4
DOXORUBICIN	BEZ-235	CAOV3	-2.4825	5	0	3	4
DOXORUBICIN	BORTEZOMIB	CAOV3	-0.285	1	0	4	4
DOXORUBICIN	DASATINIB	CAOV3	0.2874999999999999	8	0	7	4
DOXORUBICIN	DINACICLIB	CAOV3	-1.945	1	0	9	4
DOXORUBICIN	ERLOTINIB	CAOV3	0.3225	4	0	1	4
DOXORUBICIN	MK-4827	CAOV3	2.46	5	0	2	4
DOXORUBICIN	MK-5108	CAOV3	0.0099999999999999	2	0	3	4
DOXORUBICIN	MK-8669	CAOV3	-1.5675	9	0	4	4
DOXORUBICIN	MK-8776	CAOV3	-0.8	4	0	5	4
DOXORUBICIN	PD325901	CAOV3	0.6225	4	0	9	4
DOXORUBICIN	SUNITINIB	CAOV3	-3.2325	7	0	2	4
DOXORUBICIN	TEMOZOLOMIDE	CAOV3	1.9725	7	0	3	4
ERLOTINIB	ABT-888	CAOV3	3.4675	5	1	1	4
ERLOTINIB	BORTEZOMIB	CAOV3	2.34	2	1	4	4
ERLOTINIB	DASATINIB	CAOV3	-2.31	3	1	7	4
ERLOTINIB	DINACICLIB	CAOV3	2.1575	5	1	9	4
ERLOTINIB	GELDANAMYCIN	CAOV3	3.4375	6	1	3	4
ERLOTINIB	MK-8669	CAOV3	3.135	6	1	4	4
ERLOTINIB	PD325901	CAOV3	0.9	7	1	9	4
ETOPOSIDE	BEZ-235	CAOV3	1.4275	4	2	3	4
ETOPOSIDE	MK-8669	CAOV3	3.1525000000000003	0	2	4	4
ETOPOSIDE	MK-8776	CAOV3	3.2575	6	2	5	4
ETOPOSIDE	ZOLINZA	CAOV3	0.3725	6	2	7	4
GELDANAMYCIN	DINACICLIB	CAOV3	0.6600000000000001	3	3	9	4
GELDANAMYCIN	OXALIPLATIN	CAOV3	1.81	0	3	7	4
GELDANAMYCIN	TOPOTECAN	CAOV3	1.365	3	3	4	4
GEMCITABINE	ABT-888	CAOV3	-0.0425	2	4	1	4
GEMCITABINE	AZD1775	CAOV3	0.3037500000000002	8	4	2	4
GEMCITABINE	BORTEZOMIB	CAOV3	0.0424999999999999	2	4	4	4
GEMCITABINE	MK-2206	CAOV3	1.515	7	4	0	4
GEMCITABINE	MK-4827	CAOV3	0.3424999999999999	4	4	2	4
GEMCITABINE	MK-5108	CAOV3	0.7675000000000001	3	4	3	4
GEMCITABINE	MK-8669	CAOV3	-2.6775	2	4	4	4
GEMCITABINE	MK-8776	CAOV3	1.21625	8	4	5	4
GEMCITABINE	PD325901	CAOV3	-1.0925	9	4	9	4
GEMCITABINE	SUNITINIB	CAOV3	-0.0324999999999999	9	4	2	4
GEMCITABINE	TEMOZOLOMIDE	CAOV3	2.81	7	4	3	4
L778123	BEZ-235	CAOV3	0.4275	4	5	3	4
L778123	BORTEZOMIB	CAOV3	-3.1775	5	5	4	4
L778123	DASATINIB	CAOV3	-2.2875	1	5	7	4
L778123	DINACICLIB	CAOV3	2.1525000000000003	0	5	9	4
L778123	ERLOTINIB	CAOV3	2.575	0	5	1	4
L778123	GEMCITABINE	CAOV3	-3.2375	7	5	4	4
L778123	SN-38	CAOV3	-2.5525	7	5	0	4
L778123	SORAFENIB	CAOV3	2.2825	1	5	1	4
L778123	TEMOZOLOMIDE	CAOV3	-0.8375000000000001	9	5	3	4
L778123	TOPOTECAN	CAOV3	3.505	8	5	4	4
LAPATINIB	ABT-888	CAOV3	3.6575	2	6	1	4
LAPATINIB	BEZ-235	CAOV3	2.78	2	6	3	4
LAPATINIB	ERLOTINIB	CAOV3	-1.745	1	6	1	4
LAPATINIB	MK-2206	CAOV3	1.05625	2	6	0	4
LAPATINIB	MK-4827	CAOV3	2.9275	4	6	2	4
LAPATINIB	PD325901	CAOV3	0.605	6	6	9	4
METFORMIN	AZD1775	CAOV3	-1.3175	2	7	2	4
METFORMIN	BORTEZOMIB	CAOV3	1.35	8	7	4	4
METFORMIN	DASATINIB	CAOV3	-1.265	3	7	7	4
METFORMIN	DINACICLIB	CAOV3	-1.205	5	7	9	4
METFORMIN	ERLOTINIB	CAOV3	-1.1525	5	7	1	4
METFORMIN	GELDANAMYCIN	CAOV3	0.1424999999999999	3	7	3	4
METFORMIN	L778123	CAOV3	-2.2425	7	7	5	4
METFORMIN	LAPATINIB	CAOV3	2.785	3	7	6	4
METFORMIN	MK-4827	CAOV3	-2.7875000000000005	8	7	2	4
METFORMIN	MK-5108	CAOV3	-1.9375	3	7	3	4
METFORMIN	MK-8669	CAOV3	-2.57	8	7	4	4
METFORMIN	MK-8776	CAOV3	-1.4175000000000004	7	7	5	4
METFORMIN	PD325901	CAOV3	1.04	3	7	9	4
METFORMIN	ZOLINZA	CAOV3	-0.19	4	7	7	4
METHOTREXATE	ABT-888	CAOV3	0.6875	6	8	1	4
METHOTREXATE	BORTEZOMIB	CAOV3	1.9825	8	8	4	4
METHOTREXATE	DINACICLIB	CAOV3	1.6675000000000002	0	8	9	4
METHOTREXATE	GELDANAMYCIN	CAOV3	-2.41	9	8	3	4
METHOTREXATE	MK-4827	CAOV3	-0.4474999999999999	6	8	2	4
METHOTREXATE	MK-5108	CAOV3	-1.1	1	8	3	4
METHOTREXATE	MK-8776	CAOV3	-1.875	7	8	5	4
METHOTREXATE	SORAFENIB	CAOV3	-1.76	3	8	1	4
METHOTREXATE	TEMOZOLOMIDE	CAOV3	-2.2825	1	8	3	4
MITOMYCINE	BEZ-235	CAOV3	1.8725	9	9	3	4
